        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , GPU Power [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-08-22 15:54:38 ,          99.8   ,           2394.1   ,               44.0   ,          0   ,                        815   ,         0.0   ,             -   ,               46.0   ,                  9537   ,
2023-08-22 15:54:39 ,          99.8   ,           2394.1   ,               44.0   ,          3   ,                        815   ,         0.0   ,             -   ,               49.0   ,                  9537   ,
2023-08-22 15:54:40 ,          99.8   ,           2394.1   ,               46.0   ,          5   ,                        815   ,         0.0   ,             -   ,               44.0   ,                  9537   ,
2023-08-22 15:54:41 ,          99.8   ,           2394.1   ,               46.0   ,          3   ,                        815   ,         0.0   ,             -   ,               46.0   ,                  9528   ,
        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-08-22 15:55:11 ,        1410.0   ,           1750.2   ,               46.1   ,        57.5   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.1   ,                  11.1   ,               13.5   ,                 19.0   ,              29.0   ,             24.6   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9449   ,
2023-08-22 15:55:12 ,        1410.0   ,           1750.2   ,               46.1   ,        57.6   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               43.0   ,                  9448   ,
2023-08-22 15:55:13 ,        1410.0   ,           1750.2   ,               46.1   ,        57.7   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.1   ,               13.5   ,                 19.0   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9447   ,
2023-08-22 15:55:14 ,        1410.0   ,           1750.2   ,               46.0   ,        57.5   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               43.0   ,                  9447   ,
2023-08-22 15:55:15 ,        1410.0   ,           1750.2   ,               46.1   ,        57.4   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9447   ,
2023-08-22 15:55:16 ,        1410.0   ,           1750.2   ,               46.0   ,        57.6   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.0   ,               13.5   ,                 19.0   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9446   ,
2023-08-22 15:55:17 ,        1410.0   ,           1750.2   ,               46.0   ,        57.4   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  10.9   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9447   ,
2023-08-22 15:55:18 ,        1410.0   ,           1750.2   ,               46.0   ,        57.4   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               43.0   ,                  9446   ,
2023-08-22 15:55:19 ,        1410.0   ,           1750.2   ,               46.0   ,        57.4   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.7   ,                  10.8   ,               13.4   ,                 18.9   ,              29.0   ,             24.2   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9447   ,
2023-08-22 15:55:20 ,        1410.0   ,           1750.2   ,               46.0   ,        57.7   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.8   ,                  10.9   ,               13.4   ,                 18.9   ,              29.0   ,             24.3   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9446   ,
